"cameraid","sensor_time","status","localobjectid","posx","posy","numofobjects"
"xovis_s3","2019-11-27 00:00:27.58","OK",607729,"446.635","51.9956",1
"xovis_s3","2019-11-27 00:00:27.692","OK",607729,"449.293","59.9662",1
"xovis_s3","2019-11-27 00:00:27.812","OK",607729,"450.179","70.5937",1
"xovis_s3","2019-11-27 00:00:27.939","OK",607729,"449.293","82.9924",1
"xovis_s3","2019-11-27 00:00:28.05","OK",607729,"449.293","96.2767",1
"xovis_s3","2019-11-27 00:00:28.172","OK",607729,"451.95","106.018",1
"xovis_s3","2019-11-27 00:00:28.301","OK",607729,"455.494","114.875",1
"xovis_s3","2019-11-27 00:00:28.414","OK",607729,"458.152","127.273",1
"xovis_s3","2019-11-27 00:00:28.532","OK",607729,"460.81","140.558",1
"xovis_s3","2019-11-27 00:00:28.656","OK",607729,"464.353","153.842",1
"xovis_s3","2019-11-27 00:00:28.77","OK",607729,"464.353","166.241",1
"xovis_s3","2019-11-27 00:00:28.893","OK",607729,"464.353","178.639",1
"xovis_s3","2019-11-27 00:00:29.017","OK",607729,"466.125","191.924",1
"xovis_s3","2019-11-27 00:00:29.141","OK",607729,"469.669","204.322",1
"xovis_s3","2019-11-27 00:00:29.257","OK",607729,"472.326","219.378",1
"xovis_s3","2019-11-27 00:00:29.381","OK",607729,"471.44","235.319",1
"xovis_s3","2019-11-27 00:00:29.494","OK",607729,"474.098","250.375",1
"xovis_s3","2019-11-27 00:00:29.729","OK",607729,"480.299","276.058",1
"xovis_s3","2019-11-27 00:00:29.853","OK",607729,"482.957","288.456",1
"xovis_s3","2019-11-27 00:00:29.978","OK",607729,"487.387","301.741",1
"xovis_s3","2019-11-27 00:00:30.089","OK",607729,"490.044","315.025",1
"xovis_s3","2019-11-27 00:00:30.214","OK",607729,"490.044","328.309",1
"xovis_s3","2019-11-27 00:00:30.339","OK",607729,"490.93","340.708",1
"xovis_s3","2019-11-27 00:00:30.453","OK",607729,"492.702","353.107",1
"xovis_s3","2019-11-27 00:00:30.582","OK",607729,"496.246","367.277",1
"xovis_s3","2019-11-27 00:00:30.694","OK",607729,"497.132","380.561",1
"xovis_s3","2019-11-27 00:00:30.812","OK",607729,"498.903","395.616",1
"xovis_s3","2019-11-27 00:00:30.936","OK",607729,"505.105","413.329",1
"xovis_s3","2019-11-27 00:00:31.172","OK",607729,"515.736","445.211",1
"xovis_s3","2019-11-27 00:00:31.292","OK",607729,"518.393","458.495",1
"xovis_s3","2019-11-27 00:00:31.416","OK",607729,"525.48","476.208",1
"xovis_s3","2019-11-27 00:00:31.54","OK",607729,"531.682","493.035",1
"xovis_s3","2019-11-27 00:00:31.652","OK",607729,"535.225","507.205",1
"xovis_s3","2019-11-27 00:00:31.776","OK",607729,"534.34","514.289",1
"xovis_s3","2019-11-27 00:00:31.9","OK",607729,"531.682","518.718",1
"xovis_s3","2019-11-27 00:00:32.012","OK",607729,"528.138","520.489",2
"xovis_s3","2019-11-27 00:00:32.012","OK",607731,"491.816","502.776",2
"xovis_s3","2019-11-27 00:00:32.137","OK",607731,"498.017","519.603",1
"xovis_s3","2019-11-27 00:00:32.261","OK",607731,"502.447","518.718",1
"xovis_s3","2019-11-27 00:04:35.502","OK",607734,"518.393","40.4826",1
"xovis_s3","2019-11-27 00:04:35.626","OK",607734,"524.595","45.7963",1
"xovis_s3","2019-11-27 00:04:35.741","OK",607734,"529.024","56.4237",1
"xovis_s3","2019-11-27 00:04:35.865","OK",607734,"532.568","67.9368",1
"xovis_s3","2019-11-27 00:04:35.989","OK",607734,"536.997","79.4499",2
"xovis_s3","2019-11-27 00:04:35.989","OK",607735,"451.95","38.7113",2
"xovis_s3","2019-11-27 00:04:36.102","OK",607734,"536.997","88.3061",2
"xovis_s3","2019-11-27 00:04:36.102","OK",607735,"454.608","50.2244",2
"xovis_s3","2019-11-27 00:04:36.226","OK",607734,"539.655","100.705",2
"xovis_s3","2019-11-27 00:04:36.226","OK",607735,"457.266","61.7375",2
"xovis_s3","2019-11-27 00:04:36.35","OK",607734,"540.541","112.218",2
"xovis_s3","2019-11-27 00:04:36.35","OK",607735,"457.266","74.1362",2
"xovis_s3","2019-11-27 00:04:36.471","OK",607734,"549.4","125.502",2
"xovis_s3","2019-11-27 00:04:36.471","OK",607735,"460.81","82.9924",2
"xovis_s3","2019-11-27 00:04:36.584","OK",607734,"556.487","137.901",2
"xovis_s3","2019-11-27 00:04:36.584","OK",607735,"466.125","92.7342",2
"xovis_s3","2019-11-27 00:04:36.71","OK",607734,"562.688","151.185",2
"xovis_s3","2019-11-27 00:04:36.71","OK",607735,"471.44","103.362",2
"xovis_s3","2019-11-27 00:04:36.941","OK",607734,"571.547","175.097",2
"xovis_s3","2019-11-27 00:04:36.941","OK",607735,"476.756","130.816",2
"xovis_s3","2019-11-27 00:04:37.065","OK",607734,"576.863","184.839",2
"xovis_s3","2019-11-27 00:04:37.065","OK",607735,"482.957","142.329",2
"xovis_s3","2019-11-27 00:04:37.189","OK",607734,"581.292","195.466",2
"xovis_s3","2019-11-27 00:04:37.189","OK",607735,"487.387","152.071",2
"xovis_s3","2019-11-27 00:04:37.311","OK",607734,"582.178","206.979",2
"xovis_s3","2019-11-27 00:04:37.311","OK",607735,"490.93","163.584",2
"xovis_s3","2019-11-27 00:04:37.424","OK",607734,"582.178","220.264",2
"xovis_s3","2019-11-27 00:04:37.424","OK",607735,"493.588","174.211",2
"xovis_s3","2019-11-27 00:04:37.666","OK",607734,"578.635","244.175",2
"xovis_s3","2019-11-27 00:04:37.666","OK",607735,"503.333","197.237",2
"xovis_s3","2019-11-27 00:04:37.79","OK",607734,"576.863","253.917",2
"xovis_s3","2019-11-27 00:04:37.79","OK",607735,"507.762","208.75",2
"xovis_s3","2019-11-27 00:04:37.901","OK",607734,"575.977","261.002",2
"xovis_s3","2019-11-27 00:04:37.901","OK",607735,"514.85","215.835",2
"xovis_s3","2019-11-27 00:04:38.026","OK",607734,"576.863","267.201",2
"xovis_s3","2019-11-27 00:04:38.026","OK",607735,"521.051","227.348",2
"xovis_s3","2019-11-27 00:04:38.151","OK",607734,"578.635","270.744",2
"xovis_s3","2019-11-27 00:04:38.151","OK",607735,"528.138","236.205",2
"xovis_s3","2019-11-27 00:04:38.263","OK",607734,"581.292","273.401",2
"xovis_s3","2019-11-27 00:04:38.263","OK",607735,"533.454","246.832",2
"xovis_s3","2019-11-27 00:04:38.511","OK",607734,"581.292","273.401",2
"xovis_s3","2019-11-27 00:04:38.511","OK",607735,"537.883","273.401",2
"xovis_s3","2019-11-27 00:04:38.624","OK",607735,"541.427","284.914",1
"xovis_s3","2019-11-27 00:04:38.745","OK",607745,"498.017","306.169",2
"xovis_s3","2019-11-27 00:04:38.745","OK",607735,"546.742","297.312",2
"xovis_s3","2019-11-27 00:04:38.866","OK",607745,"498.017","310.597",2
"xovis_s3","2019-11-27 00:04:38.866","OK",607735,"551.172","307.054",2
"xovis_s3","2019-11-27 00:04:38.989","OK",607745,"497.132","315.025",2
"xovis_s3","2019-11-27 00:04:38.989","OK",607735,"552.944","316.796",2
"xovis_s3","2019-11-27 00:04:39.101","OK",607745,"498.017","312.368",2
"xovis_s3","2019-11-27 00:04:39.101","OK",607735,"557.373","323.881",2
"xovis_s3","2019-11-27 00:04:39.34","OK",607745,"503.333","307.94",3
"xovis_s3","2019-11-27 00:04:39.34","OK",607747,"612.299","358.42",3
"xovis_s3","2019-11-27 00:04:39.34","OK",607735,"571.547","341.594",3
"xovis_s3","2019-11-27 00:04:39.465","OK",607745,"505.991","314.139",3
"xovis_s3","2019-11-27 00:04:39.465","OK",607747,"599.896","361.077",3
"xovis_s3","2019-11-27 00:04:39.465","OK",607735,"573.319","347.793",3
"xovis_s3","2019-11-27 00:04:39.59","OK",607745,"510.42","323.881",3
"xovis_s3","2019-11-27 00:04:39.59","OK",607747,"591.923","369.048",3
"xovis_s3","2019-11-27 00:04:39.59","OK",607735,"573.319","350.45",3
"xovis_s3","2019-11-27 00:04:39.703","OK",607745,"514.85","334.509",4
"xovis_s3","2019-11-27 00:04:39.703","OK",607747,"585.722","375.247",4
"xovis_s3","2019-11-27 00:04:39.703","OK",607753,"528.138","364.62",4
"xovis_s3","2019-11-27 00:04:39.703","OK",607735,"567.118","353.107",4
"xovis_s3","2019-11-27 00:04:39.821","OK",607745,"520.165","344.25",4
"xovis_s3","2019-11-27 00:04:39.821","OK",607747,"591.037","384.103",4
"xovis_s3","2019-11-27 00:04:39.821","OK",607753,"536.111","375.247",4
"xovis_s3","2019-11-27 00:04:39.821","OK",607735,"560.031","355.763",4
"xovis_s3","2019-11-27 00:04:40.061","OK",607745,"521.937","356.649",4
"xovis_s3","2019-11-27 00:04:40.061","OK",607747,"606.098","412.443",4
"xovis_s3","2019-11-27 00:04:40.061","OK",607753,"544.084","393.845",4
"xovis_s3","2019-11-27 00:04:40.061","OK",607735,"542.313","367.277",4
"xovis_s3","2019-11-27 00:04:40.187","OK",607745,"520.165","358.42",4
"xovis_s3","2019-11-27 00:04:40.187","OK",607747,"613.185","426.613",4
"xovis_s3","2019-11-27 00:04:40.187","OK",607753,"549.4","402.701",4
"xovis_s3","2019-11-27 00:04:40.187","OK",607735,"536.997","371.705",4
"xovis_s3","2019-11-27 00:04:40.299","OK",607745,"520.165","358.42",4
"xovis_s3","2019-11-27 00:04:40.299","OK",607747,"614.071","431.927",4
"xovis_s3","2019-11-27 00:04:40.299","OK",607753,"553.829","411.558",4
"xovis_s3","2019-11-27 00:04:40.299","OK",607735,"536.111","371.705",4
"xovis_s3","2019-11-27 00:04:40.423","OK",607745,"520.165","358.42",4
"xovis_s3","2019-11-27 00:04:40.423","OK",607747,"614.957","436.355",4
"xovis_s3","2019-11-27 00:04:40.423","OK",607753,"560.031","421.299",4
"xovis_s3","2019-11-27 00:04:40.423","OK",607735,"536.111","371.705",4
"xovis_s3","2019-11-27 00:04:40.666","OK",607753,"580.406","441.669",1
"xovis_s3","2019-11-27 00:04:40.783","OK",607753,"588.38","447.868",1
"xovis_s3","2019-11-27 00:04:40.903","OK",607753,"585.722","454.067",1
"xovis_s3","2019-11-27 00:04:41.03","OK",607753,"586.608","462.923",1
"xovis_s3","2019-11-27 00:04:41.143","OK",607753,"588.38","473.551",1
"xovis_s3","2019-11-27 00:04:41.267","OK",607753,"594.581","481.522",1
"xovis_s3","2019-11-27 00:04:41.389","OK",607753,"600.782","488.607",1
"xovis_s3","2019-11-27 00:04:41.503","OK",607753,"607.87","498.348",1
"xovis_s3","2019-11-27 00:04:41.746","OK",607753,"614.071","511.633",1
"xovis_s3","2019-11-27 00:04:41.87","OK",607753,"612.299","515.175",1
"xovis_s3","2019-11-27 00:04:41.982","OK",607753,"610.527","520.489",1
